Title,Link
강원도, AI 자율제조 포럼 개최... AI로 만드는 제조업 혁신 패러다임 전환,https://www.boannews.com/media/view.asp?idx=134015&page=4&kind=2
부산시, ‘2024 부산 사이버보안 콘퍼런스’ 개최,https://www.boannews.com/media/view.asp?idx=134014&page=5&kind=2
LG전자, 헬스케어 스타트업 성공 노하우 나눈다,https://www.boannews.com/media/view.asp?idx=134013&page=5&kind=3
디지털플랫폼정부 전문가 양성해 디지털정부 해외 진출 돕는다,https://www.boannews.com/media/view.asp?idx=134012&page=5&kind=2
과기정통부-교육부, ‘2024 대한민국 소프트웨어 교육 축제’ 개최,https://www.boannews.com/media/view.asp?idx=134011&page=5&kind=2
경찰청, 딥페이크 성범죄 특별단속 추진 현황 발표,https://www.boannews.com/media/view.asp?idx=134010&page=5&kind=2
MS-SQL 서버 취약점 점검, 비전문가도 할 수 있다... ‘해킹진단도구’ 활용법,https://www.boannews.com/media/view.asp?idx=133980&page=5&kind=1
[인터뷰] Tiandy 코리아 최림 본부장 “내년 한국시장, 현지화와 기술 지원 강화, CS 활성화에 중점”,https://www.boannews.com/media/view.asp?idx=134005&page=5&kind=3
Weekly Security Premium Report 제174호 발간! 중소기업을 위한 ‘효율적인 보안 가이드라인’,https://www.boannews.com/media/view.asp?idx=134004&page=5&kind=3
과기정통부, 2024년 데이터안심구역 활용 공동 경진대회 시상식 개최,https://www.boannews.com/media/view.asp?idx=133996&page=5&kind=2
과기정통부, ‘2024년 정보통신사고 재난대응 안전한국훈련’ 실시,https://www.boannews.com/media/view.asp?idx=133994&page=5&kind=2
조달청, 신산업 이끄는 45개 혁신제품 지정,https://www.boannews.com/media/view.asp?idx=134002&page=5&kind=3
큐냅, 버그바운티 대회에서 발견된 제로데이 취약점 패치해,https://www.boannews.com/media/view.asp?idx=134000&page=5&kind=1
[오늘의 보안 영어] boots on the ground,https://www.boannews.com/media/view.asp?idx=134001&page=5&kind=4
소포스, 중국 해커와 싸운 5년 간의 기록 공개해,https://www.boannews.com/media/view.asp?idx=133999&page=5&kind=1
새로운 피싱키트 슈고우, 유명 브랜드 사칭하며 빠르게 세력 넓혀,https://www.boannews.com/media/view.asp?idx=133998&page=5&kind=1
새롭게 등장한 라이트스파이, 이번에는 iOS도 노려,https://www.boannews.com/media/view.asp?idx=133997&page=5&kind=1
인터넷신문윤리위원회, 2024 인터넷신문 윤리포럼 성료,https://www.boannews.com/media/view.asp?idx=133995&page=5&kind=2
한국과 유럽연합, ‘동등성 인정’ 추진으로 데이터 교류 장벽 없앤다,https://www.boannews.com/media/view.asp?idx=133993&page=5&kind=2
위협 인텔리전스 플랫폼 ‘안랩 TIP’에 텔레그램 및 랜섬웨어 특화 모니터링 기능 추가,https://www.boannews.com/media/view.asp?idx=133992&page=5&kind=3
[bnTV] 수능 코앞! 수험생 노리는 ‘사이버 범죄’ 주의보,https://www.boannews.com/media/view.asp?idx=133930&page=5&kind=1
