Title,Link
하이크비전, 네트워크 카메라 ‘이지 IP 4.0 플러스’ 공개,https://www.boannews.com/media/view.asp?idx=134107&page=5&kind=3
KISIA, 사이버보안 모태펀드 운용사와 MOU 체결,https://www.boannews.com/media/view.asp?idx=134099&page=5&kind=3
S2W, ‘2024 하반기 파트너스 데이’ 진행,https://www.boannews.com/media/view.asp?idx=134106&page=5&kind=3
부산시, 블록체인 AI 기반 ‘유실물 찾기 서비스’ ‘파인딩올’ 출시,https://www.boannews.com/media/view.asp?idx=134083&page=5&kind=2
2025년 디지털금융 및 사이버보안 10대 이슈는?,https://www.boannews.com/media/view.asp?idx=134100&page=5&kind=2
점점 많아지고 있는 SaaS, 하지만 보안은 제자리걸음,https://www.boannews.com/media/view.asp?idx=132517&page=5&kind=4
[퀴즈 이·보·소] 수능을 앞두고 사이버 위협에 노출된 사람은?,https://www.boannews.com/media/view.asp?idx=134077&page=5&kind=1
[이슈칼럼] 개인정보 유출, 모두 막을 수 있다,https://www.boannews.com/media/view.asp?idx=134031&page=5&kind=3
[오늘의 보안 영어] in a similar vein,https://www.boannews.com/media/view.asp?idx=134105&page=5&kind=1
전자 서명 플랫폼 도큐사인 악용한 피싱 캠페인 발견돼,https://www.boannews.com/media/view.asp?idx=134104&page=5&kind=1
인터폴, “국제 공조로 사이버 범죄자 41명 체포하는 데 성공”,https://www.boannews.com/media/view.asp?idx=134103&page=5&kind=1
FBI, 중국 해커들에 대한 정보를 얻기 위해 대중의 도움 요청,https://www.boannews.com/media/view.asp?idx=134102&page=5&kind=1
